,Population,Density,Wealthy,median_age,intersections,total_watts,total_lightbulbs,one_way_signs,speed_limit_signs,no_u_turn_signs,stop_sign,yield_sign,accidents
322,2424,7345.454545454545,591206.00660066,1808,111.0,93128.0,461.0,18.0,8.0,11.0,38.0,1.0,184
323,48581,8405.017301038062,28496.06720734444,30688,91.0,24687.0,154.0,0.0,9.0,0.0,24.0,0.0,38
324,48581,8405.017301038062,28496.06720734444,30688,55.0,1932.0,27.0,0.0,14.0,1.0,16.0,0.0,89
325,39480,3679.4035414725067,27516.27322695036,16127,18.0,8461.0,69.0,0.0,0.0,0.0,90.0,0.0,65
326,39480,3679.4035414725067,27516.27322695036,16127,58.0,177363.0,1098.0,21.0,19.0,4.0,26.0,2.0,382
327,39480,3679.4035414725067,27516.27322695036,16127,187.0,84435.0,1103.0,29.0,49.0,22.0,183.0,0.0,336
328,7827,4953.79746835443,29720.632298454067,3518,68.0,15994.0,131.0,3.0,3.0,3.0,5.0,0.0,68
329,57964,18637.942122186498,21465.59236767649,27210,60.0,8294.0,84.0,0.0,2.0,0.0,12.0,0.0,109
330,57964,18637.942122186498,21465.59236767649,27210,241.0,91160.0,1163.0,8.0,24.0,0.0,303.0,1.0,525
331,28418,13795.145631067959,24914.51692589204,14030,121.0,39652.0,499.0,0.0,15.0,0.0,145.0,0.0,241
332,21397,11321.16402116402,35213.54259942983,12939,89.0,12587.0,98.0,8.0,3.0,1.0,17.0,0.0,57
333,48581,8405.017301038062,28496.06720734444,30688,154.0,15750.0,133.0,0.0,6.0,0.0,51.0,0.0,24
334,48581,8405.017301038062,28496.06720734444,30688,117.0,6430.0,139.0,0.0,12.0,0.0,79.0,0.0,61
335,39480,3679.4035414725067,27516.27322695036,16127,30.0,13887.0,90.0,0.0,2.0,0.0,90.0,0.0,49
336,39480,3679.4035414725067,27516.27322695036,16127,70.0,36560.0,396.0,20.0,29.0,2.0,52.0,0.0,332
337,39480,3679.4035414725067,27516.27322695036,16127,161.0,44143.0,574.0,25.0,32.0,7.0,129.0,1.0,345
338,57964,18637.942122186498,21465.59236767649,27210,44.0,12373.0,102.0,0.0,4.0,2.0,3.0,0.0,55
339,28418,13795.145631067959,24914.51692589204,14030,227.0,78624.0,995.0,3.0,25.0,1.0,213.0,0.0,750
340,28418,13795.145631067959,24914.51692589204,14030,193.0,70920.0,901.0,12.0,18.0,0.0,233.0,0.0,851
341,21397,11321.16402116402,35213.54259942983,12939,200.0,90258.0,674.0,40.0,14.0,4.0,111.0,0.0,548
342,48581,8405.017301038062,28496.06720734444,30688,238.0,36393.0,228.0,2.0,29.0,0.0,81.0,0.0,66
343,48581,8405.017301038062,28496.06720734444,30688,175.0,19336.0,312.0,0.0,18.0,0.0,149.0,1.0,264
344,39480,3679.4035414725067,27516.27322695036,16127,36.0,10015.0,69.0,5.0,2.0,0.0,1.0,0.0,24
345,39480,3679.4035414725067,27516.27322695036,16127,67.0,9831.0,132.0,14.0,5.0,11.0,33.0,0.0,117
346,7827,4953.79746835443,29720.632298454067,3518,92.0,7410.0,85.0,5.0,8.0,5.0,24.0,0.0,208
347,7827,4953.79746835443,29720.632298454067,3518,85.0,5688.0,95.0,2.0,5.0,0.0,8.0,0.0,60
348,32327,8808.446866485014,13199.176137593962,15006,85.0,23140.0,450.0,2.0,8.0,10.0,73.0,1.0,161
349,47596,13111.84573002755,11986.65163038911,17204,241.0,111694.0,1183.0,4.0,39.0,4.0,233.0,0.0,640
350,21397,11321.16402116402,35213.54259942983,12939,217.0,118659.0,1355.0,39.0,53.0,2.0,318.0,1.0,945
351,21397,11321.16402116402,35213.54259942983,12939,172.0,80313.0,954.0,5.0,30.0,0.0,284.0,0.0,900
352,48581,8405.017301038062,28496.06720734444,30688,236.0,41821.0,503.0,16.0,30.0,1.0,112.0,4.0,465
353,48581,8405.017301038062,28496.06720734444,30688,145.0,22705.0,254.0,0.0,18.0,6.0,77.0,1.0,198
354,7827,4953.79746835443,29720.632298454067,3518,14.0,812.0,14.0,2.0,15.0,0.0,5.0,0.0,1
355,7827,4953.79746835443,29720.632298454067,3518,33.0,1552.0,28.0,2.0,15.0,0.0,4.0,0.0,7
356,32327,8808.446866485014,13199.176137593962,15006,48.0,15969.0,204.0,5.0,10.0,5.0,22.0,0.0,91
357,47596,13111.84573002755,11986.65163038911,17204,42.0,19679.0,309.0,5.0,13.0,6.0,39.0,0.0,305
358,47596,13111.84573002755,11986.65163038911,17204,81.0,41532.0,459.0,0.0,11.0,0.0,94.0,1.0,413
359,64458,16570.17994858612,13523.166278817214,25116,74.0,42382.0,453.0,0.0,15.0,0.0,91.0,0.0,242
360,7827,4953.79746835443,29720.632298454067,3518,14.0,396.0,7.0,2.0,15.0,0.0,5.0,0.0,5
361,7827,4953.79746835443,29720.632298454067,3518,47.0,12212.0,216.0,0.0,12.0,0.0,84.0,0.0,58
362,32327,8808.446866485014,13199.176137593962,15006,24.0,3638.0,102.0,0.0,1.0,0.0,21.0,0.0,23
363,32327,8808.446866485014,13199.176137593962,15006,47.0,21365.0,373.0,0.0,2.0,0.0,57.0,1.0,227
364,47596,13111.84573002755,11986.65163038911,17204,80.0,37660.0,416.0,0.0,6.0,0.0,95.0,1.0,391
365,64458,16570.17994858612,13523.166278817214,25116,82.0,48673.0,513.0,8.0,15.0,0.0,85.0,0.0,626
366,44789,10844.794188861986,13738.797383286077,17172,22.0,588.0,11.0,2.0,15.0,0.0,9.0,0.0,11
367,44789,10844.794188861986,13738.797383286077,17172,60.0,11488.0,207.0,0.0,6.0,0.0,54.0,0.0,43
368,32327,8808.446866485014,13199.176137593962,15006,25.0,4453.0,78.0,0.0,1.0,0.0,14.0,0.0,57
369,32327,8808.446866485014,13199.176137593962,15006,58.0,29460.0,456.0,0.0,7.0,0.0,60.0,0.0,209
370,47596,13111.84573002755,11986.65163038911,17204,88.0,37596.0,427.0,3.0,4.0,0.0,107.0,0.0,283
371,64458,16570.17994858612,13523.166278817214,25116,66.0,34633.0,408.0,31.0,16.0,0.0,84.0,1.0,321
372,48606,10276.109936575052,12352.223367485496,17150,20.0,2381.0,25.0,0.0,1.0,0.0,8.0,0.0,13
373,44789,10844.794188861986,13738.797383286077,17172,57.0,32495.0,354.0,0.0,15.0,5.0,87.0,0.0,432
374,44789,10844.794188861986,13738.797383286077,17172,69.0,40222.0,429.0,3.0,12.0,6.0,104.0,0.0,461
375,44789,10844.794188861986,13738.797383286077,17172,98.0,48958.0,492.0,4.0,6.0,0.0,66.0,1.0,389
376,32327,8808.446866485014,13199.176137593962,15006,75.0,49463.0,510.0,27.0,9.0,0.0,76.0,1.0,372
377,49310,17003.44827586207,9748.53518556074,16658,65.0,40735.0,447.0,0.0,15.0,0.0,83.0,0.0,566
378,64458,16570.17994858612,13523.166278817214,25116,63.0,34061.0,388.0,13.0,14.0,0.0,53.0,0.0,363
379,44789,10844.794188861986,13738.797383286077,17172,81.0,24919.0,350.0,0.0,14.0,0.0,124.0,0.0,209
380,44789,10844.794188861986,13738.797383286077,17172,59.0,23254.0,339.0,0.0,5.0,0.0,130.0,0.0,216
381,44789,10844.794188861986,13738.797383286077,17172,74.0,32161.0,411.0,5.0,5.0,0.0,101.0,1.0,150
382,49310,17003.44827586207,9748.53518556074,16658,69.0,34483.0,406.0,3.0,8.0,2.0,73.0,0.0,165
383,49310,17003.44827586207,9748.53518556074,16658,59.0,29719.0,345.0,0.0,9.0,0.0,85.0,0.0,205
384,49310,17003.44827586207,9748.53518556074,16658,58.0,37025.0,386.0,0.0,9.0,0.0,88.0,0.0,378
385,48606,10276.109936575052,12352.223367485496,17150,16.0,1248.0,15.0,0.0,1.0,0.0,8.0,0.0,3
386,48606,10276.109936575052,12352.223367485496,17150,58.0,17078.0,194.0,0.0,11.0,0.0,61.0,0.0,79
387,48606,10276.109936575052,12352.223367485496,17150,72.0,23197.0,265.0,0.0,6.0,0.0,81.0,0.0,112
388,44789,10844.794188861986,13738.797383286077,17172,77.0,33751.0,395.0,0.0,11.0,0.0,136.0,0.0,302
389,44789,10844.794188861986,13738.797383286077,17172,71.0,35696.0,385.0,3.0,16.0,0.0,110.0,0.0,354
390,32821,17005.699481865286,9149.374790530454,9795,38.0,28347.0,320.0,0.0,16.0,0.0,61.0,0.0,275
391,32821,17005.699481865286,9149.374790530454,9795,68.0,37114.0,406.0,1.0,8.0,0.0,101.0,0.0,366
392,49310,17003.44827586207,9748.53518556074,16658,67.0,33511.0,348.0,0.0,12.0,0.0,90.0,0.0,416
393,49310,17003.44827586207,9748.53518556074,16658,58.0,38019.0,364.0,0.0,19.0,0.0,69.0,0.0,442
394,48606,10276.109936575052,12352.223367485496,17150,30.0,4408.0,46.0,8.0,3.0,0.0,18.0,0.0,34
395,48606,10276.109936575052,12352.223367485496,17150,66.0,35640.0,374.0,8.0,12.0,2.0,101.0,0.0,315
396,48606,10276.109936575052,12352.223367485496,17150,57.0,35266.0,379.0,0.0,19.0,0.0,113.0,0.0,548
397,48606,10276.109936575052,12352.223367485496,17150,76.0,40227.0,439.0,0.0,11.0,0.0,147.0,0.0,548
398,32821,17005.699481865286,9149.374790530454,9795,56.0,35128.0,379.0,0.0,6.0,0.0,91.0,0.0,531
399,32821,17005.699481865286,9149.374790530454,9795,60.0,34623.0,374.0,4.0,8.0,0.0,109.0,0.0,413
400,32821,17005.699481865286,9149.374790530454,9795,71.0,42407.0,450.0,0.0,6.0,0.0,100.0,0.0,511
401,49310,17003.44827586207,9748.53518556074,16658,53.0,33354.0,359.0,1.0,12.0,0.0,85.0,3.0,396
